uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,8
AC,OUTRAS,DOMICILIO,"< 9",M,15
AC,OUTRAS,HOSPITAL,"< 9",F,28
AC,OUTRAS,HOSPITAL,"< 9",M,56
AC,OUTRAS,IGNORADO,"< 9",M,1
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",M,7
AC,OUTRAS,VIA_PUBLICA,"< 9",F,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INDETERMINADA,HOSPITAL,"< 9",M,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",F,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,3
AC,PNEUMONIA,HOSPITAL,"< 9",F,28
AC,PNEUMONIA,HOSPITAL,"< 9",M,43
AC,PNEUMONIA,IGNORADO,"< 9",M,1
AC,PNEUMONIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,OUTRO,"< 9",M,2
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,44
AC,SEPTICEMIA,HOSPITAL,"< 9",M,50
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,SRAG,HOSPITAL,"< 9",F,2
AL,OUTRAS,DOMICILIO,"< 9",F,9
AL,OUTRAS,DOMICILIO,"< 9",M,16
AL,OUTRAS,HOSPITAL,"< 9",F,218
AL,OUTRAS,HOSPITAL,"< 9",I,2
AL,OUTRAS,HOSPITAL,"< 9",M,252
AL,OUTRAS,IGNORADO,"< 9",M,2
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AL,OUTRAS,VIA_PUBLICA,"< 9",F,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,3
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,30
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,30
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,PNEUMONIA,DOMICILIO,"< 9",F,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,32
AL,PNEUMONIA,HOSPITAL,"< 9",M,58
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,DOMICILIO,"< 9",F,2
AL,SEPTICEMIA,HOSPITAL,"< 9",F,81
AL,SEPTICEMIA,HOSPITAL,"< 9",I,1
AL,SEPTICEMIA,HOSPITAL,"< 9",M,113
AL,SRAG,DOMICILIO,"< 9",F,1
AL,SRAG,OUTRO,"< 9",F,1
AL,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,DOMICILIO,"< 9",F,21
AM,OUTRAS,DOMICILIO,"< 9",M,31
AM,OUTRAS,HOSPITAL,"< 9",F,303
AM,OUTRAS,HOSPITAL,"< 9",I,6
AM,OUTRAS,HOSPITAL,"< 9",M,379
AM,OUTRAS,IGNORADO,"< 9",F,1
AM,OUTRAS,IGNORADO,"< 9",I,2
AM,OUTRAS,IGNORADO,"< 9",M,7
AM,OUTRAS,OUTRO,"< 9",F,3
AM,OUTRAS,OUTRO,"< 9",M,6
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,VIA_PUBLICA,"< 9",F,1
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,DOMICILIO,"< 9",M,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,41
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,64
AM,PNEUMONIA,AMBULANCIA,"< 9",F,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,65
AM,PNEUMONIA,HOSPITAL,"< 9",M,81
AM,PNEUMONIA,OUTRO,"< 9",F,2
AM,SEPTICEMIA,HOSPITAL,"< 9",F,131
AM,SEPTICEMIA,HOSPITAL,"< 9",M,168
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SRAG,HOSPITAL,"< 9",F,5
AM,SRAG,HOSPITAL,"< 9",M,7
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,DOMICILIO,"< 9",M,4
AP,OUTRAS,HOSPITAL,"< 9",F,54
AP,OUTRAS,HOSPITAL,"< 9",I,2
AP,OUTRAS,HOSPITAL,"< 9",M,52
AP,OUTRAS,IGNORADO,"< 9",F,1
AP,OUTRAS,IGNORADO,"< 9",M,1
AP,OUTRAS,OUTRO,"< 9",F,3
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AP,OUTRAS,POSTO_SAUDE,"< 9",M,1
AP,INDETERMINADA,DOMICILIO,"< 9",M,1
AP,INDETERMINADA,HOSPITAL,"< 9",F,2
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,5
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AP,PNEUMONIA,DOMICILIO,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,19
AP,PNEUMONIA,HOSPITAL,"< 9",M,24
AP,SEPTICEMIA,HOSPITAL,"< 9",F,20
AP,SEPTICEMIA,HOSPITAL,"< 9",M,25
AP,SRAG,HOSPITAL,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",M,3
BA,OUTRAS,DOMICILIO,"< 9",F,39
BA,OUTRAS,DOMICILIO,"< 9",M,44
BA,OUTRAS,HOSPITAL,"< 9",F,506
BA,OUTRAS,HOSPITAL,"< 9",I,19
BA,OUTRAS,HOSPITAL,"< 9",M,606
BA,OUTRAS,IGNORADO,"< 9",F,1
BA,OUTRAS,IGNORADO,"< 9",I,6
BA,OUTRAS,IGNORADO,"< 9",M,5
BA,OUTRAS,OUTRO,"< 9",F,5
BA,OUTRAS,OUTRO,"< 9",I,1
BA,OUTRAS,OUTRO,"< 9",M,8
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,20
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,26
BA,OUTRAS,VIA_PUBLICA,"< 9",F,4
BA,OUTRAS,VIA_PUBLICA,"< 9",M,9
BA,INDETERMINADA,HOSPITAL,"< 9",F,2
BA,INDETERMINADA,HOSPITAL,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,5
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,7
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,196
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,7
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,245
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,10
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
BA,PNEUMONIA,DOMICILIO,"< 9",M,4
BA,PNEUMONIA,HOSPITAL,"< 9",F,68
BA,PNEUMONIA,HOSPITAL,"< 9",M,89
BA,PNEUMONIA,IGNORADO,"< 9",M,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
